"AOE Name","Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","Bracket","Registered For"
"SAS_","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club/entrant/13647602"">SAS_</a>","There was 50 matches for the string SAS_","There was 50 matches","System.Object[]","1","System.Object[]","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/2942077"">Valdemar1902</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club/entrant/13679236"">Valdemar1902</a>","2015","14","1996","21","2059","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/585764"">DivineDFP</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club/entrant/13676565"">DivineDFP</a>","1901","26","1917","43","1223","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/2606764"">Kaiser Johan</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club/entrant/13656948"">Kaiser Johan</a>","1816","42","1833","69","540","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/1492832"">bakmogoon</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club/entrant/13670113"">bakmogoon</a>","1656","112","1725","136","749","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8889417"">Camiknoedel</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club/entrant/13689421"">Camiknoedel</a>","1564","185","1671","187","535","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/10045489"">Keyrun22</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club/entrant/13649699"">Keyrun22</a>","1616","135","1650","216","697","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club/entrant/13690285"">VES | Dragevann</a>","1601","156","1644","225","456","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/6914972"">Rob_The_Viking_TV</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club/entrant/13682392"">Rob_The_Viking_TV</a>","1267","1095","1359","1558","2852","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/7896747"">Ety</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club/entrant/13681589"">PCS | Ety</a>","1373","661","1449","878","200","Saturday Play-ins","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-42/event/the-warchief-club"">The Warchief Club</a>"
