"Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","AOE Name","Bracket","Registered For"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/19178824"">ICRS | Tomioka</a>","There was 12 matches for the string Tomioka","There was 12 matches","System.Object[]","1","System.Object[]","<a href=""https://aoe4world.com/players/3212222"">Tomioka</a>","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/19180288"">ICRS | Hafiz [AASB]</a>","There was 0 matches for the string [AASB]","There was 0 matches","System.Object[]","1","System.Object[]","[AASB]","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-top-bracket-1250-1550-ranked-elo/entrant/19206517"">ls | kazama</a>","There was 0 matches for the string kazama","There was 0 matches","System.Object[]","1","System.Object[]","<a href=""https://aoe4world.com/players/11693076"">kazama</a>","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-top-bracket-1250-1550-ranked-elo"">Low Elo Legends - Top Bracket (1250-1550 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/19180529"">ICRS | Nemesis</a>","1400","1144","1572","1204","57","<a href=""https://aoe4world.com/players/7490608"">Nemesis</a>","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-top-bracket-1250-1550-ranked-elo/entrant/19208679"">Nomad</a>","1607","317","1567","1292","1052","<a href=""https://aoe4world.com/players/6265672"">Nomad</a>","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-top-bracket-1250-1550-ranked-elo"">Low Elo Legends - Top Bracket (1250-1550 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-top-bracket-1250-1550-ranked-elo/entrant/19207352"">Vegeta</a>","1400","1742","1515","2516","939","<a href=""https://aoe4world.com/players/11636485"">Vegeta</a>","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-top-bracket-1250-1550-ranked-elo"">Low Elo Legends - Top Bracket (1250-1550 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-top-bracket-1250-1550-ranked-elo/entrant/19172526"">[ODM] | Hannodins</a>","1395","2087","1488","3068","816","<a href=""https://aoe4world.com/players/2236507"">Hannodins</a>","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-top-bracket-1250-1550-ranked-elo"">Low Elo Legends - Top Bracket (1250-1550 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-top-bracket-1250-1550-ranked-elo/entrant/19207012"">SamyarS80</a>","1381","2164","1454","4056","531","<a href=""https://aoe4world.com/players/11648581"">SamyarS80</a>","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-top-bracket-1250-1550-ranked-elo"">Low Elo Legends - Top Bracket (1250-1550 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-top-bracket-1250-1550-ranked-elo/entrant/19197957"">Bella</a>","1400","1570","1447","4269","214","<a href=""https://aoe4world.com/players/3421255"">Bella</a>","Top Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-top-bracket-1250-1550-ranked-elo"">Low Elo Legends - Top Bracket (1250-1550 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/19178340"">Carvalho</a>","1304","2856","1338","8068","4238","<a href=""https://aoe4world.com/players/11576678"">Carvalho</a>","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/19173390"">Buzzingrapier86</a>","1211","4746","1257","12780","1141","<a href=""https://aoe4world.com/players/9363257"">Buzzingrapier86</a>","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/19208494"">Zelda</a>","1160","6168","1222","15486","575","<a href=""https://aoe4world.com/players/416660"">Zelda</a>","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/19208073"">Sorrowangel</a>","There was 2 matches for the string Sorrowangel","There was 2 matches","1174","19730","1027","<a href=""https://aoe4world.com/players/16939460"">Sorrowangel</a>","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/19205861"">Nozon1</a>","1087","8555","1167","20494","110","<a href=""https://aoe4world.com/players/17500624"">Nozon1</a>","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo/entrant/19206536"">Shikanoko</a>","1053","10014","1161","21195","1001","<a href=""https://aoe4world.com/players/14124731"">Shikanoko</a>","Middle Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-middle-bracket-1050-1350-ranked-elo"">Low Elo Legends - Middle Bracket (1050-1350 Ranked Elo)</a>"
"<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-bottom-bracket-1100-ranked-elo/entrant/19205846"">??</a>","1155","6298","1100","29472","373","<a href=""https://aoe4world.com/players/7208138"">??</a>","Bottom Bracket Swiss","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-110/event/low-elo-legends-bottom-bracket-1100-ranked-elo"">Low Elo Legends - Bottom Bracket (<1100 Ranked Elo)</a>"
