"Team Name","Participant 1 - Name","Participant 1 - 1v1 Elo","Participant 1 - 2v2 Elo","Participant 1 - 3v3 Elo","Participant 1 - 4v4 Elo","Participant 2 - Name","Participant 2 - 1v1 Elo","Participant 2 - 2v2 Elo","Participant 2 - 3v3 Elo","Participant 2 - 4v4 Elo","Participant 3 - Name","Participant 3 - 1v1 Elo","Participant 3 - 2v2 Elo","Participant 3 - 3v3 Elo","Participant 3 - 4v4 Elo"
".:TEAM:. Cheppy / .:TEAM:.ZombieMind",".:TEAM:. Cheppy","1468","1466","1253","1306",".:TEAM:.ZombieMind",,,,,,,,,
"[E-gear]Arabskiy_TIGER / Itarossa / Antoxa","Itarossa","1558","1426","1389","1494","[E-gear]Arabskiy_TIGER","1533","1272","1217","1217","Antoxa","1641","1483","1320",
"01 / shadow","01","1636","1556","1568","1539","shadow",,,,,,,,,
"Altair3.0 / Gollum","Altair3.0","856","1349","1511","1578","Gollum",,,,,,,,,
"antihero3mio der VIII / Ezra123","antihero3mio der VIII","1431","1425","1073",,"Ezra123","1564","1500","1291",,,,,,
"Araken / cornonjakobe","cornonjakobe","1565","1536","1400",,"Araken",,,,,,,,,
"Balls Of Christ / Ragin' Richard / DeftJackal","DeftJackal","1326","1358","1384",,"Ragin' Richard",,"905","875","763","Balls Of Christ","994","1078","1029","762"
"Bonanzaii / HeliosEdiy","Bonanzaii","1011","1116","959",,"HeliosEdiy","1169","1095","1039",,,,,,
"b? ????? / loueMT","b? ?????",,,,,"loueMT",,,,,,,,,
"Camiknoedel / kaker","Camiknoedel","1649","1637","1055",,"kaker",,,,,,,,,
"DavidB / Mjerticla","Mjerticla",,,,,"DavidB",,,,,,,,,
"Destiny / cls666","Destiny",,,,,"cls666",,,,,,,,,
"Dragevann / Cow","Cow",,,,,"Dragevann","1577","1547","1137","1077",,,,,
"Elpalomas / Frodobolson5657","Elpalomas","1521","1461","1423","1173","Frodobolson5657","1453","1514","1351","1260",,,,,
"Elyona / mYi.Ourk","mYi.Ourk","1941","1739","1407","1446","Elyona",,,,,,,,,
"Heri / General Romos","Heri",,,,,"General Romos",,"1002","1013",,,,,,
"housedhorse / jiglypuf62 / Laughing_Fox","jiglypuf62","1431","1543","1713","1652","Laughing_Fox","1570","1617","1693","1618","housedhorse",,"1669","1610","1478"
"ILLMASTER / ELITE.MIKO","ILLMASTER",,,,,"ELITE.MIKO",,,,,,,,,
"Jabar Jabroni / CS Blight","Jabar Jabroni","1157","1107","1026","976","CS Blight","1043","1050","1192",,,,,,
"LegolaS / UtinOwns","LegolaS",,,,,"UtinOwns",,,,,,,,,
"LIONHEARTE / Shadewalkin / MysteriousX","LIONHEARTE",,,,,"Shadewalkin","1133","1143","1071","1294","MysteriousX",,,,
"LovePierogi / Werbix","LovePierogi","1330","1286","1123","1257","Werbix","1549","1314","1217","1296",,,,,
"Lucas / Dreyken","Dreyken","1002","934",,,"Lucas",,,,,,,,,
"Menedas / SuperPenguin","Menedas",,"1261",,,"SuperPenguin",,,,,,,,,
"Mophideus / Tiberius","Tiberius",,,,,"Mophideus","1157","1203","1148","1039",,,,,
"Muhodo / Speedeor 10139245 / KyrreLubiWod?","Muhodo","1693","1483","1188","1582","Speedeor","1636","1556","1568","1539","KyrreLubiWod?","1502","1431",,
"N A U T I L U S / Undacava","N A U T I L U S","1097","1170","1308","1131","Undacava",,,,,,,,,
"Niclas001 / Mizzsazza","Niclas001",,,,,"Mizzsazza",,"975","1040","1035",,,,,
"Niroxs / Swissblaze","Niroxs","1571","1610","1504","1208","Swissblaze","1425","1539","1280","1219",,,,,
"nmm_thehun / Athule","nmm_thehun","958","1033","1066",,"Athule","1452","1209","1127",,,,,,
"NyanRacingCat / GG.simtom / wntdSAS","GG.simtom","1693","1374","1470",,"NyanRacingCat","1705","1579","1518",,"wntdSAS",,,,
"Obiwankevinobi / MaximusInvictus","MaximusInvictus",,,,,"Obiwankevinobi","1202","1042","1087",,,,,,
"OpDVlaM / Everlast007","Everlast007","1499","1381","1225","1189","OpDVlaM","1602","1482","1329",,,,,,
"Rainer / Massena","Rainer",,,,,"Massena",,,,,,,,,
"Rentalbeast8160 / Fury Road / AshenOsprey","Fury Road",,,,,"Rentalbeast8160",,,,,"AshenOsprey","1243","1150","1436","1248"
"Rode / GandelfWarrior / Howard Beale","Rode","1261","1136","1120",,"GandelfWarrior","1159","1124","1014",,"Howard Beale","1181","1072","1147","1165"
"RoyalPleco / Moo","RoyalPleco",,,,,"Moo",,,,,,,,,
"situx / Goatkowski","Goatkowski",,,,,"situx","1369","1377","1555","1419",,,,,
"Szalamii1 / coRe","Szalamii1","1898","1811","1636","1371","coRe","1906","1766","1584",,,,,,
"Tarlanors / LM_Titanium / Kristal_jack","LM_Titanium","1255","1131","1368","1172","Tarlanors","1511","1404","1461","1277","Kristal_jack","1188","1296","1146","1248"
"Thebaldeagle / Thisisachore","Thebaldeagle","1063","1039","998","1033","Thisisachore","1071","1056","1000",,,,,,
"timurlain / Lomax1992","timurlain","1111","1079","1148","1114","Lomax1992","1201","1137","1151","1188",,,,,
"Top Kitten / Feigi","Feigi","1128","1174","1105",,"Top Kitten",,,,,,,,,
"Vucsko / nclaver","Vucsko","1352","1409",,,"nclaver","1320","1409",,,,,,,
