"AOE Name","Start GG Name","Ladder Elo","Ladder Rank","Hidden Elo","Hidden Rank","Games Played","Bracket","Registered For"
"RoyalPleco","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club/entrant/18239612"">RoyalPleco</a>","There was 0 matches for the string RoyalPleco","There was 0 matches","System.Object[]","1","System.Object[]","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club"">The Warchief Club</a>"
"meomaika","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club/entrant/18237120"">meomaika</a>","There was 0 matches for the string meomaika","There was 0 matches","System.Object[]","1","System.Object[]","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club"">The Warchief Club</a>"
"Msn_dkTTV","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club/entrant/18233712"">GHG | Msn_dkTTV</a>","There was 0 matches for the string Msn_dkTTV","There was 0 matches","System.Object[]","1","System.Object[]","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club"">The Warchief Club</a>"
"V?n","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club/entrant/18239339"">kh?ng :v | V? V? V?n</a>","There was 2 matches for the string V?n","There was 2 matches","System.Object[]","1","System.Object[]","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/2606764"">Kaiser Johan</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club/entrant/18238377"">Kaiser Johan</a>",,,"1999","25","1180","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/217881"">edenov01</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club/entrant/18219404"">edenov01</a>","There was 1 matches for the string edenov01","There was 1 matches","1580","1106","2667","Top Bracket Finals","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/8130680"">Scatterbrained</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club/entrant/18194034"">Scatterbrained</a>","1765","19","1904","55","612","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/5075657"">Warsp1te</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club/entrant/18228381"">Warsp1te</a>",,,"1869","72","921","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/4071458"">Dragevann</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club/entrant/18238207"">Dragevann</a>","1507","106","1825","118","1583","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club"">The Warchief Club</a>"
"<a href=""https://aoe4world.com/players/1712108"">PSR.Trakor</a>","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club/entrant/18193734"">Trakor</a>","1637","40","1797","146","2147","The Warchief Club","<a href=""https://www.start.gg/tournament/rising-empires-weeklies-97/event/the-warchief-club"">The Warchief Club</a>"
